community,meas,month,Q_MGD,year
Norwood,Estimated Sanitary Flow,Jan,2.4,2016
Norwood,Estimated Sanitary Flow,Feb,2.4,2016
Norwood,Estimated Sanitary Flow,Mar,2.4,2016
Norwood,Estimated Sanitary Flow,Apr,2.4,2016
Norwood,Estimated Sanitary Flow,May,2.4,2016
Norwood,Estimated Sanitary Flow,Jun,2.4,2016
Norwood,Estimated Sanitary Flow,Jul,2.4,2016
Norwood,Estimated Sanitary Flow,Aug,2.4,2016
Norwood,Estimated Sanitary Flow,Sep,2.4,2016
Norwood,Estimated Sanitary Flow,Oct,2.4,2016
Norwood,Estimated Sanitary Flow,Nov,2.4,2016
Norwood,Estimated Sanitary Flow,Dec,2.4,2016
Norwood,Estimated Sanitary Flow,ANNUAL,2.4000000953674316,2016
Norwood,Estimated Inflow,Jan,0.5599999999999996,2016
Norwood,Estimated Inflow,Feb,1.0700000000000003,2016
Norwood,Estimated Inflow,Mar,0.28000000000000025,2016
Norwood,Estimated Inflow,Apr,0.8699999999999992,2016
Norwood,Estimated Inflow,May,0.22999999999999954,2016
Norwood,Estimated Inflow,Jun,0.25,2016
Norwood,Estimated Inflow,Jul,0.16999999999999993,2016
Norwood,Estimated Inflow,Aug,0.08000000000000007,2016
Norwood,Estimated Inflow,Sep,0.1299999999999999,2016
Norwood,Estimated Inflow,Oct,0.04999999999999982,2016
Norwood,Estimated Inflow,Nov,0.04999999999999982,2016
Norwood,Estimated Inflow,Dec,0.16000000000000014,2016
Norwood,Estimated Inflow,ANNUAL,0.3199999928474426,2016
Quincy,Average Daily Flow,Jan,13.5,2016
Quincy,Average Daily Flow,Feb,15.56,2016
Quincy,Average Daily Flow,Mar,14.66,2016
Quincy,Average Daily Flow,Apr,15.38,2016
Quincy,Average Daily Flow,May,12.33,2016
Quincy,Average Daily Flow,Jun,11.17,2016
Quincy,Average Daily Flow,Jul,9.68,2016
Quincy,Average Daily Flow,Aug,9.11,2016
Quincy,Average Daily Flow,Sep,8.8,2016
Quincy,Average Daily Flow,Oct,10.39,2016
Quincy,Average Daily Flow,Nov,10.14,2016
Quincy,Average Daily Flow,Dec,10.83,2016
Quincy,Average Daily Flow,ANNUAL,11.779999732971191,2016
Quincy,Dry Day Average Daily Flow,Jan,12.11,2016
Quincy,Dry Day Average Daily Flow,Feb,13.62,2016
Quincy,Dry Day Average Daily Flow,Mar,13.49,2016
Quincy,Dry Day Average Daily Flow,Apr,14.22,2016
Quincy,Dry Day Average Daily Flow,May,11.74,2016
Quincy,Dry Day Average Daily Flow,Jun,10.91,2016
Quincy,Dry Day Average Daily Flow,Jul,9.42,2016
Quincy,Dry Day Average Daily Flow,Aug,8.97,2016
Quincy,Dry Day Average Daily Flow,Sep,8.74,2016
Quincy,Dry Day Average Daily Flow,Oct,9.39,2016
Quincy,Dry Day Average Daily Flow,Nov,9.83,2016
Quincy,Dry Day Average Daily Flow,Dec,10.29,2016
Quincy,Dry Day Average Daily Flow,ANNUAL,11.050000190734863,2016
Quincy,Estimated Infiltration,Jan,3.91,2016
Quincy,Estimated Infiltration,Feb,5.42,2016
Quincy,Estimated Infiltration,Mar,5.290000000000001,2016
Quincy,Estimated Infiltration,Apr,6.020000000000001,2016
Quincy,Estimated Infiltration,May,3.540000000000001,2016
Quincy,Estimated Infiltration,Jun,2.710000000000001,2016
Quincy,Estimated Infiltration,Jul,1.2200000000000006,2016
Quincy,Estimated Infiltration,Aug,0.77000000000000135,2016
Quincy,Estimated Infiltration,Sep,0.5400000000000009,2016
Quincy,Estimated Infiltration,Oct,1.1900000000000013,2016
Quincy,Estimated Infiltration,Nov,1.6300000000000008,2016
Quincy,Estimated Infiltration,Dec,2.09,2016
Quincy,Estimated Infiltration,ANNUAL,2.8499999046325684,2016
Quincy,Estimated Sanitary Flow,Jan,8.2,2016
Quincy,Estimated Sanitary Flow,Feb,8.2,2016
Quincy,Estimated Sanitary Flow,Mar,8.2,2016
Quincy,Estimated Sanitary Flow,Apr,8.2,2016
Quincy,Estimated Sanitary Flow,May,8.2,2016
Quincy,Estimated Sanitary Flow,Jun,8.2,2016
Quincy,Estimated Sanitary Flow,Jul,8.2,2016
Quincy,Estimated Sanitary Flow,Aug,8.2,2016
Quincy,Estimated Sanitary Flow,Sep,8.2,2016
Quincy,Estimated Sanitary Flow,Oct,8.2,2016
Quincy,Estimated Sanitary Flow,Nov,8.2,2016
Quincy,Estimated Sanitary Flow,Dec,8.2,2016
Quincy,Estimated Sanitary Flow,ANNUAL,8.199999809265137,2016
Quincy,Estimated Inflow,Jan,1.3900000000000006,2016
Quincy,Estimated Inflow,Feb,1.9400000000000013,2016
Quincy,Estimated Inflow,Mar,1.17,2016
Quincy,Estimated Inflow,Apr,1.1600000000000001,2016
Quincy,Estimated Inflow,May,0.5899999999999999,2016
Quincy,Estimated Inflow,Jun,0.2599999999999998,2016
Quincy,Estimated Inflow,Jul,0.2599999999999998,2016
Quincy,Estimated Inflow,Aug,0.1399999999999988,2016
Quincy,Estimated Inflow,Sep,0.0600000000000005,2016
Quincy,Estimated Inflow,Oct,1,2016
Quincy,Estimated Inflow,Nov,0.3100000000000005,2016
Quincy,Estimated Inflow,Dec,0.5400000000000009,2016
Quincy,Estimated Inflow,ANNUAL,0.7300000190734863,2016
Arlington,Raw Average Daily Flow,Jan,5.48,2016
Arlington,Raw Average Daily Flow,Feb,5.38,2016
Arlington,Raw Average Daily Flow,Mar,5.73,2016
Arlington,Raw Average Daily Flow,Apr,5.85,2016
Arlington,Raw Average Daily Flow,May,3.92,2016
Arlington,Raw Average Daily Flow,Jun,3.14,2016
Arlington,Raw Average Daily Flow,Jul,2.61,2016
Arlington,Raw Average Daily Flow,Aug,2.45,2016
Arlington,Raw Average Daily Flow,Sep,2.48,2016
Arlington,Raw Average Daily Flow,Oct,3.25,2016
Arlington,Raw Average Daily Flow,Nov,3.36,2016
Arlington,Raw Average Daily Flow,Dec,4.31,2016
Arlington,Raw Average Daily Flow,ANNUAL,3.990000009536743,2016
Arlington,Raw Dry Day Average Daily Flow,Jan,4.79,2016
Arlington,Raw Dry Day Average Daily Flow,Feb,4.79,2016
Arlington,Raw Dry Day Average Daily Flow,Mar,5.28,2016
Arlington,Raw Dry Day Average Daily Flow,Apr,5.34,2016
Arlington,Raw Dry Day Average Daily Flow,May,3.68,2016
Arlington,Raw Dry Day Average Daily Flow,Jun,3.04,2016
Arlington,Raw Dry Day Average Daily Flow,Jul,2.54,2016
Arlington,Raw Dry Day Average Daily Flow,Aug,2.42,2016
Arlington,Raw Dry Day Average Daily Flow,Sep,2.44,2016
Arlington,Raw Dry Day Average Daily Flow,Oct,2.95,2016
Arlington,Raw Dry Day Average Daily Flow,Nov,3.19,2016
Arlington,Raw Dry Day Average Daily Flow,Dec,3.99,2016
Arlington,Raw Dry Day Average Daily Flow,ANNUAL,3.700000047683716,2016
Arlington,Raw Estimated Infiltration,Jan,2.39,2016
Arlington,Raw Estimated Infiltration,Feb,2.39,2016
Arlington,Raw Estimated Infiltration,Mar,2.8800000000000003,2016
Arlington,Raw Estimated Infiltration,Apr,2.94,2016
Arlington,Raw Estimated Infiltration,May,1.2800000000000002,2016
Arlington,Raw Estimated Infiltration,Jun,0.6400000000000001,2016
Arlington,Raw Estimated Infiltration,Jul,0.14000000000000012,2016
Arlington,Raw Estimated Infiltration,Aug,0.020000000000000018,2016
Arlington,Raw Estimated Infiltration,Sep,0.040000000000000036,2016
Arlington,Raw Estimated Infiltration,Oct,0.5500000000000003,2016
Arlington,Raw Estimated Infiltration,Nov,0.79,2016
Arlington,Raw Estimated Infiltration,Dec,1.5900000000000003,2016
Arlington,Raw Estimated Infiltration,ANNUAL,1.2999999523162842,2016
Arlington,MWRA Estimated Infiltration,Jan,0.1,2016
Arlington,MWRA Estimated Infiltration,Feb,0.1,2016
Arlington,MWRA Estimated Infiltration,Mar,0.12,2016
Arlington,MWRA Estimated Infiltration,Apr,0.12,2016
Arlington,MWRA Estimated Infiltration,May,0.05,2016
Arlington,MWRA Estimated Infiltration,Jun,0.03,2016
Arlington,MWRA Estimated Infiltration,Jul,0.01,2016
Arlington,MWRA Estimated Infiltration,Aug,0,2016
Arlington,MWRA Estimated Infiltration,Sep,0,2016
Arlington,MWRA Estimated Infiltration,Oct,0.02,2016
Arlington,MWRA Estimated Infiltration,Nov,0.03,2016
Arlington,MWRA Estimated Infiltration,Dec,0.07,2016
Arlington,MWRA Estimated Infiltration,ANNUAL,0.05000000074505806,2016
Arlington,Final Average Daily Flow,Jan,5.380000000000001,2016
Arlington,Final Average Daily Flow,Feb,5.28,2016
Arlington,Final Average Daily Flow,Mar,5.61,2016
Arlington,Final Average Daily Flow,Apr,5.7299999999999995,2016
Arlington,Final Average Daily Flow,May,3.87,2016
Arlington,Final Average Daily Flow,Jun,3.1100000000000003,2016
Arlington,Final Average Daily Flow,Jul,2.6,2016
Arlington,Final Average Daily Flow,Aug,2.45,2016
Arlington,Final Average Daily Flow,Sep,2.48,2016
Arlington,Final Average Daily Flow,Oct,3.23,2016
Arlington,Final Average Daily Flow,Nov,3.33,2016
Arlington,Final Average Daily Flow,Dec,4.239999999999999,2016
Arlington,Final Average Daily Flow,ANNUAL,3.940000057220459,2016
Arlington,Final Dry Day Average Daily Flow,Jan,4.69,2016
Arlington,Final Dry Day Average Daily Flow,Feb,4.69,2016
Arlington,Final Dry Day Average Daily Flow,Mar,5.16,2016
Arlington,Final Dry Day Average Daily Flow,Apr,5.22,2016
Arlington,Final Dry Day Average Daily Flow,May,3.6300000000000003,2016
Arlington,Final Dry Day Average Daily Flow,Jun,3.0100000000000002,2016
Arlington,Final Dry Day Average Daily Flow,Jul,2.5300000000000002,2016
Arlington,Final Dry Day Average Daily Flow,Aug,2.42,2016
Arlington,Final Dry Day Average Daily Flow,Sep,2.44,2016
Arlington,Final Dry Day Average Daily Flow,Oct,2.93,2016
Arlington,Final Dry Day Average Daily Flow,Nov,3.16,2016
Arlington,Final Dry Day Average Daily Flow,Dec,3.9200000000000004,2016
Arlington,Final Dry Day Average Daily Flow,ANNUAL,3.6500000953674316,2016
Arlington,Estimated Infiltration,Jan,2.29,2016
Arlington,Estimated Infiltration,Feb,2.29,2016
Arlington,Estimated Infiltration,Mar,2.7600000000000002,2016
Arlington,Estimated Infiltration,Apr,2.82,2016
Arlington,Estimated Infiltration,May,1.2300000000000002,2016
Arlington,Estimated Infiltration,Jun,0.6100000000000001,2016
Arlington,Estimated Infiltration,Jul,0.13000000000000012,2016
Arlington,Estimated Infiltration,Aug,0.020000000000000018,2016
Arlington,Estimated Infiltration,Sep,0.040000000000000036,2016
Arlington,Estimated Infiltration,Oct,0.5300000000000002,2016
Arlington,Estimated Infiltration,Nov,0.76,2016
Arlington,Estimated Infiltration,Dec,1.5200000000000002,2016
Arlington,Estimated Infiltration,ANNUAL,1.25,2016
Arlington,Estimated Sanitary Flow,Jan,2.4,2016
Arlington,Estimated Sanitary Flow,Feb,2.4,2016
Arlington,Estimated Sanitary Flow,Mar,2.4,2016
Arlington,Estimated Sanitary Flow,Apr,2.4,2016
Arlington,Estimated Sanitary Flow,May,2.4,2016
Arlington,Estimated Sanitary Flow,Jun,2.4,2016
Arlington,Estimated Sanitary Flow,Jul,2.4,2016
Arlington,Estimated Sanitary Flow,Aug,2.4,2016
Arlington,Estimated Sanitary Flow,Sep,2.4,2016
Arlington,Estimated Sanitary Flow,Oct,2.4,2016
Arlington,Estimated Sanitary Flow,Nov,2.4,2016
Arlington,Estimated Sanitary Flow,Dec,2.4,2016
Arlington,Estimated Sanitary Flow,ANNUAL,2.4000000953674316,2016
Arlington,Estimated Inflow,Jan,0.6900000000000004,2016
Arlington,Estimated Inflow,Feb,0.5899999999999999,2016
Arlington,Estimated Inflow,Mar,0.4500000000000002,2016
Arlington,Estimated Inflow,Apr,0.5099999999999998,2016
Arlington,Estimated Inflow,May,0.23999999999999977,2016
Arlington,Estimated Inflow,Jun,0.10000000000000009,2016
Arlington,Estimated Inflow,Jul,0.06999999999999984,2016
Arlington,Estimated Inflow,Aug,0.03000000000000025,2016
Arlington,Estimated Inflow,Sep,0.040000000000000036,2016
Arlington,Estimated Inflow,Oct,0.2999999999999998,2016
Arlington,Estimated Inflow,Nov,0.16999999999999993,2016
Arlington,Estimated Inflow,Dec,0.3199999999999994,2016
Arlington,Estimated Inflow,ANNUAL,0.28999999165534973,2016
Belmont,Average Daily Flow,Jan,3.03,2016
Belmont,Average Daily Flow,Feb,3.04,2016
Belmont,Average Daily Flow,Mar,3.18,2016
Belmont,Average Daily Flow,Apr,3.58,2016
Belmont,Average Daily Flow,May,2.2,2016
Belmont,Average Daily Flow,Jun,1.81,2016
Belmont,Average Daily Flow,Jul,1.44,2016
Belmont,Average Daily Flow,Aug,1.41,2016
Belmont,Average Daily Flow,Sep,1.4,2016
Belmont,Average Daily Flow,Oct,1.79,2016
Belmont,Average Daily Flow,Nov,1.83,2016
Belmont,Average Daily Flow,Dec,2.28,2016
Belmont,Average Daily Flow,ANNUAL,2.25,2016
Belmont,Dry Day Average Daily Flow,Jan,2.42,2016
Belmont,Dry Day Average Daily Flow,Feb,2.48,2016
Belmont,Dry Day Average Daily Flow,Mar,2.84,2016
Belmont,Dry Day Average Daily Flow,Apr,3.03,2016
Belmont,Dry Day Average Daily Flow,May,2.01,2016
Belmont,Dry Day Average Daily Flow,Jun,1.75,2016
Belmont,Dry Day Average Daily Flow,Jul,1.41,2016
Belmont,Dry Day Average Daily Flow,Aug,1.38,2016
Belmont,Dry Day Average Daily Flow,Sep,1.3,2016
Belmont,Dry Day Average Daily Flow,Oct,1.53,2016
Belmont,Dry Day Average Daily Flow,Nov,1.73,2016
Belmont,Dry Day Average Daily Flow,Dec,2.05,2016
Belmont,Dry Day Average Daily Flow,ANNUAL,1.9900000095367432,2016
Belmont,Estimated Infiltration,Jan,1.1199999999999999,2016
Belmont,Estimated Infiltration,Feb,1.18,2016
Belmont,Estimated Infiltration,Mar,1.5399999999999998,2016
Belmont,Estimated Infiltration,Apr,1.73,2016
Belmont,Estimated Infiltration,May,0.7099999999999997,2016
Belmont,Estimated Infiltration,Jun,0.44999999999999996,2016
Belmont,Estimated Infiltration,Jul,0.10999999999999988,2016
Belmont,Estimated Infiltration,Aug,0.07999999999999985,2016
Belmont,Estimated Infiltration,Sep,0,2016
Belmont,Estimated Infiltration,Oct,0.22999999999999998,2016
Belmont,Estimated Infiltration,Nov,0.42999999999999994,2016
Belmont,Estimated Infiltration,Dec,0.7499999999999998,2016
Belmont,Estimated Infiltration,ANNUAL,0.6899999976158142,2016
Belmont,Estimated Sanitary Flow,Jan,1.3,2016
Belmont,Estimated Sanitary Flow,Feb,1.3,2016
Belmont,Estimated Sanitary Flow,Mar,1.3,2016
Belmont,Estimated Sanitary Flow,Apr,1.3,2016
Belmont,Estimated Sanitary Flow,May,1.3,2016
Belmont,Estimated Sanitary Flow,Jun,1.3,2016
Belmont,Estimated Sanitary Flow,Jul,1.3,2016
Belmont,Estimated Sanitary Flow,Aug,1.3,2016
Belmont,Estimated Sanitary Flow,Sep,1.3,2016
Belmont,Estimated Sanitary Flow,Oct,1.3,2016
Belmont,Estimated Sanitary Flow,Nov,1.3,2016
Belmont,Estimated Sanitary Flow,Dec,1.3,2016
Belmont,Estimated Sanitary Flow,ANNUAL,1.2999999523162842,2016
Belmont,Estimated Inflow,Jan,0.6099999999999999,2016
Belmont,Estimated Inflow,Feb,0.56,2016
Belmont,Estimated Inflow,Mar,0.3400000000000003,2016
Belmont,Estimated Inflow,Apr,0.5500000000000003,2016
Belmont,Estimated Inflow,May,0.1900000000000004,2016
Belmont,Estimated Inflow,Jun,0.06000000000000005,2016
Belmont,Estimated Inflow,Jul,0.030000000000000027,2016
Belmont,Estimated Inflow,Aug,0.030000000000000027,2016
Belmont,Estimated Inflow,Sep,0.09999999999999987,2016
Belmont,Estimated Inflow,Oct,0.26,2016
Belmont,Estimated Inflow,Nov,0.10000000000000009,2016
Belmont,Estimated Inflow,Dec,0.22999999999999998,2016
Belmont,Estimated Inflow,ANNUAL,0.25,2016
Chelsea,Raw Average Daily Flow,Jan,5,2016
Chelsea,Raw Average Daily Flow,Feb,5.69,2016
Chelsea,Raw Average Daily Flow,Mar,5.59,2016
Chelsea,Raw Average Daily Flow,Apr,5.69,2016
Chelsea,Raw Average Daily Flow,May,5,2016
Chelsea,Raw Average Daily Flow,Jun,4.55,2016
Chelsea,Raw Average Daily Flow,Jul,4.21,2016
Chelsea,Raw Average Daily Flow,Aug,4.04,2016
Chelsea,Raw Average Daily Flow,Sep,3.96,2016
Chelsea,Raw Average Daily Flow,Oct,5.31,2016
Chelsea,Raw Average Daily Flow,Nov,4.43,2016
Chelsea,Raw Average Daily Flow,Dec,5.15,2016
Chelsea,Raw Average Daily Flow,ANNUAL,4.880000114440918,2016
Chelsea,Raw Dry Day Average Daily Flow,Jan,4.17,2016
Chelsea,Raw Dry Day Average Daily Flow,Feb,4.2,2016
Chelsea,Raw Dry Day Average Daily Flow,Mar,4.45,2016
Chelsea,Raw Dry Day Average Daily Flow,Apr,4.44,2016
Chelsea,Raw Dry Day Average Daily Flow,May,4.19,2016
Chelsea,Raw Dry Day Average Daily Flow,Jun,4.09,2016
Chelsea,Raw Dry Day Average Daily Flow,Jul,3.9,2016
Chelsea,Raw Dry Day Average Daily Flow,Aug,3.7,2016
Chelsea,Raw Dry Day Average Daily Flow,Sep,3.43,2016
Chelsea,Raw Dry Day Average Daily Flow,Oct,3.75,2016
Chelsea,Raw Dry Day Average Daily Flow,Nov,3.66,2016
Chelsea,Raw Dry Day Average Daily Flow,Dec,4.18,2016
Chelsea,Raw Dry Day Average Daily Flow,ANNUAL,4.010000228881836,2016
Chelsea,Raw Estimated Infiltration,Jan,1.17,2016
Chelsea,Raw Estimated Infiltration,Feb,1.2000000000000002,2016
Chelsea,Raw Estimated Infiltration,Mar,1.4500000000000002,2016
Chelsea,Raw Estimated Infiltration,Apr,1.4400000000000004,2016
Chelsea,Raw Estimated Infiltration,May,1.1900000000000004,2016
Chelsea,Raw Estimated Infiltration,Jun,1.0899999999999999,2016
Chelsea,Raw Estimated Infiltration,Jul,0.8999999999999999,2016
Chelsea,Raw Estimated Infiltration,Aug,0.7000000000000002,2016
Chelsea,Raw Estimated Infiltration,Sep,0.43000000000000016,2016
